user_identities.identity,articles_viewed_per_user,streams_added_per_user,session_id_per_user,push_enabled_user
013365b2eb444359857d81587a1068d4,3,2,1,0
0133c80a7c64413188b3c939fe299dcd,3,494,36,0
01346ff311b94da789c668fcdec26cf4,28,296,25,0
0135342624b84c94addd49599d1b2c45,1,18,2,0
01355dbdd5c944cd84adb6f50164cb6f,3,4,1,0
0135a469dd44499d83df33f8a0787178,2,30,14,0
0137be0d63924ec7a33d4ba79cf1ecd2,6,10,17,0
0139db374655405d973d65cb7b1cae7a,1,52,9,1
013a00ee33234ff6b51f7632a0b622e1,1,5,7,0
013cac682233436b9e6284befbd8a3e1,2,44,19,0
014007262e0c4fe38a0a65f68d0e22a6,2,1,2,0
01400c83ccaf4eea8e71e8668546cf66,3,23,9,0
01403a4bb3114482b9edd890db502d79,4,15,2,0
01427a215ba444c1afcacf4ba7d2e623,12,7,13,0
0143d0bec9a446fe967d066e890b0775,1,3,8,1
014576bf988a48e98d5a231f9ccd4d95,11,9,12,0
014aa070c5664285a14ece12bf535f9c,3,3,3,0
014c1c66bb6a4a5086b61211bfb368f2,6,6,10,0
014d74aedf5b457da6e96b2b20dec0e3,2,20,6,1
0152af91c0844b9584a09db928ba9214,3,119,8,0
0153fa82b02e442bae567015bffe5134,8,39,13,0
0155e774000541bf9b712f10eda0b82d,1,42,6,0
01560ab0703e4d72980c5be73e7aeb7f,7,8,12,0
015c916360a242f5b6ee0bf1e195282a,3,12,2,0
0164740291cd41638fd6910e45b7e8ff,4,189,15,0
0164d6cfdce749368d634a841cc0093d,8,15,8,0
0164f44f552a46c3b1968ed77f02c1a1,9,12,9,0
0165394df5a54e70a1c1bd9fce6f1983,2,34,5,0
01658ddf36644456a512969a903e36be,5,45,10,0
016c5be6c8cf446ba52a52a02beceda1,6,11,6,1
016faf1c970145369f22102cc09356b5,1,6,6,0
0170f46991ff459883cdd86dbef49c94,4,42,11,0
01735128b35d42919c6e1c2a076d8b76,2,1,1,0
01758b5f41a84bef8c549660bc673dfd,7,7,4,0
0176a89afe9a4eedb05a5da2a02a91af,4,27,7,0
017791ca3a3246f2a44820e3751bac18,12,10,9,0
017b1be4dc334e439d983c0ef9a9e647,4,15,8,0
017c5201f970411d9d976a135f0c7d65,2,29,4,0
017ea14098c24c35b820efb6ae358df6,1,11,2,0
01811b7c31a44f46abc6bff0e2f38e97,2,20,4,0
018451a2a2354d78b0876d35d392ce7a,6,74,24,0
0185e37d140c48ea89604d7c862040a5,4,1097,10,0
0188e711eebd4ef4a02422ed0fcde342,18,11,33,0
018dc3dac12b4a9196b8ffb5a824ac1d,4,17,6,0
019728c4ac814e50b6d00920e486abee,2,23,13,0
019847ea5dec433fa2f6da341deef77c,12,77,8,0
01999fe38f114da4bb7979500677d327,1,1,3,0
019ce60ff2804cacb1caa25898bae102,1,32,7,0
019d3846460843a99a629c25e6b07147,1,83,17,0
019e9eb516304afb94541362751fda35,2,412,42,0
01a3be9a147f4a7f883ebb4da8450a35,1,5,15,0
01a6fe80597e4f1db1a371d9a96744a9,1,36,3,0
01a9377dbe6b4e31a645f7d0a89e9e32,1,5,5,0
01ad911327fc43459060cc10319b21b7,1,44,4,0
01afa7415159462988a89e2faaa86ec0,1,34,6,0
01b2d02189e4413ab57fd9ff684cba9f,5,27,5,0
01b2fed345e64732be06c9e037245904,4,4,2,0
01b318fa11ec49ccba878bb82cae10df,22,100,17,0
01b89e7228e043739ea7e2ffb0d18ab2,3,28,9,1
01b9ce5b75604ffcbc2ce8c627cc66a4,2,8,3,1
01c168b5f64d4601a188b52623adb5bb,1,39,8,0
01c4663fc4c74a6fb12b97ca536a7f8f,3,33,13,0
01c9eea5b10c40ab87dda39959bdfa1c,2,73,12,0
01cc42d8fe5b46a99269b458e6be6f7d,1,376,2,0
01cd9cf1da954204a4e840d4ff0ad6b7,3,5,6,0
01cf7a60d27845929f2ca66c081d1395,8,67,24,0
